lon,lat
-4.104151,40.900816
-4.101176,40.903714
-4.098201,40.906611
-4.095225,40.909508
-4.092249,40.912405
-4.089273,40.915302
-4.086296,40.918198
-4.083318,40.921095
-4.080341,40.923991
-4.077362,40.926887
-4.074384,40.929783
-4.071404,40.932678
-4.068425,40.935574
-4.065445,40.938469
-4.062464,40.941364
-4.059483,40.944259
-4.056502,40.947154
-4.053520,40.950049
-4.050538,40.952943
-4.047555,40.955837
-4.044572,40.958731
-4.041589,40.961625
-4.038605,40.964519
-4.035621,40.967412
-4.032636,40.970306
-4.029650,40.973199
-4.026665,40.976092
-4.023679,40.978985
-4.020692,40.981877
-4.017705,40.984770
-4.014718,40.987662
-4.011730,40.990554
-4.008742,40.993446
-4.005753,40.996338
-4.002764,40.999229
