lon,lat
-58.538143,-34.705557
-58.535799,-34.705557
-58.533454,-34.705557
-58.531109,-34.705557
-58.528765,-34.705557
-58.526420,-34.705557
-58.524074,-34.705557
-58.521729,-34.705557
-58.519384,-34.705557
-58.517038,-34.705557
-58.514692,-34.705557
-58.512346,-34.705557
-58.510000,-34.705557
-58.507654,-34.705557
-58.505308,-34.705557
-58.502961,-34.705557
-58.500614,-34.705557
-58.498267,-34.705557
-58.495920,-34.705557
-58.493573,-34.705557
-58.491226,-34.705557
-58.488878,-34.705557
-58.486531,-34.705557
-58.484183,-34.705557
-58.481835,-34.705557
-58.479487,-34.705557
-58.477138,-34.705557
-58.474790,-34.705557
-58.472441,-34.705557
-58.470093,-34.705557
-58.467744,-34.705557
-58.465395,-34.705557
-58.463045,-34.705557
-58.460696,-34.705557
-58.458346,-34.705557
-58.455997,-34.705557
-58.453647,-34.705557
-58.451297,-34.705557
-58.448947,-34.705557
-58.446596,-34.705557
-58.444246,-34.705557
-58.441895,-34.705557
-58.439544,-34.705557
-58.437193,-34.705557
-58.434842,-34.705557
-58.432491,-34.705557
-58.430140,-34.705557
-58.427788,-34.705557
-58.425436,-34.705557
-58.423084,-34.705557
-58.420732,-34.705557
-58.418380,-34.705557
-58.416028,-34.705557
-58.413675,-34.705557
-58.411322,-34.705557
-58.408970,-34.705557
-58.406617,-34.705557
-58.404263,-34.705557
-58.401910,-34.705557
-58.399557,-34.705557
-58.397203,-34.705557
-58.394849,-34.705557
-58.392495,-34.705557
-58.390141,-34.705557
-58.387787,-34.705557
-58.385433,-34.705557
-58.383078,-34.705557
-58.380723,-34.705557
-58.378368,-34.705557
-58.376013,-34.705557
-58.373658,-34.705557
-58.371303,-34.705557
-58.368947,-34.705557
-58.366592,-34.705557
-58.364236,-34.705557
-58.361880,-34.705557
-58.359524,-34.705557
-58.357167,-34.705557
-58.354811,-34.705557
-58.352454,-34.705557
-58.538143,-34.701065
-58.535799,-34.701065
-58.533454,-34.701065
-58.531109,-34.701065
-58.528765,-34.701065
-58.526420,-34.701065
-58.524074,-34.701065
-58.521729,-34.701065
-58.519384,-34.701065
-58.517038,-34.701065
-58.514692,-34.701065
-58.512346,-34.701065
-58.510000,-34.701065
-58.507654,-34.701065
-58.505308,-34.701065
-58.502961,-34.701065
-58.500614,-34.701065
-58.498267,-34.701065
-58.495920,-34.701065
-58.493573,-34.701065
-58.491226,-34.701065
-58.488878,-34.701065
-58.486531,-34.701065
-58.484183,-34.701065
-58.481835,-34.701065
-58.479487,-34.701065
-58.477138,-34.701065
-58.474790,-34.701065
-58.472441,-34.701065
-58.470093,-34.701065
-58.467744,-34.701065
-58.465395,-34.701065
-58.463045,-34.701065
-58.460696,-34.701065
-58.458346,-34.701065
-58.455997,-34.701065
-58.453647,-34.701065
-58.451297,-34.701065
-58.448947,-34.701065
-58.446596,-34.701065
-58.444246,-34.701065
-58.441895,-34.701065
-58.439544,-34.701065
-58.437193,-34.701065
-58.434842,-34.701065
-58.432491,-34.701065
-58.430140,-34.701065
-58.427788,-34.701065
-58.425436,-34.701065
-58.423084,-34.701065
-58.420732,-34.701065
-58.418380,-34.701065
-58.416028,-34.701065
-58.413675,-34.701065
-58.411322,-34.701065
-58.408970,-34.701065
-58.406617,-34.701065
-58.404263,-34.701065
-58.401910,-34.701065
-58.399557,-34.701065
-58.397203,-34.701065
-58.394849,-34.701065
-58.392495,-34.701065
-58.390141,-34.701065
-58.387787,-34.701065
-58.385433,-34.701065
-58.383078,-34.701065
-58.380723,-34.701065
-58.378368,-34.701065
-58.376013,-34.701065
-58.373658,-34.701065
-58.371303,-34.701065
-58.368947,-34.701065
-58.366592,-34.701065
-58.364236,-34.701065
-58.361880,-34.701065
-58.359524,-34.701065
-58.357167,-34.701065
-58.354811,-34.701065
-58.352454,-34.701065
-58.538143,-34.696574
-58.535799,-34.696574
-58.533454,-34.696574
-58.531109,-34.696574
-58.528765,-34.696574
-58.526420,-34.696574
-58.524074,-34.696574
-58.521729,-34.696574
-58.519384,-34.696574
-58.517038,-34.696574
-58.514692,-34.696574
-58.512346,-34.696574
-58.510000,-34.696574
-58.507654,-34.696574
