search_longitude,search_latitude,arrive,leave,search_method,timestamp,geometry,x,y,new_x,new_y,arrive_date,dayOfWeek
-58.42653181403875,-34.57806491165687,2021-02-13 21:34:54.590000+00:00,2021-02-13 22:34:54.590000+00:00,searchInThisArea,2021-02-13T18:35:48.904-03:00,POINT (-58.42653181403875 -34.57806491165687),-58.42653181403875,-34.57806491165687,0.11161118596124453,0.12749208834313208,2021-02-13,5
-58.37025808132072,-34.62256017722425,2021-02-13 12:30:00+00:00,2021-02-13 15:30:00+00:00,updateTimeHome,2021-02-12T17:27:51.701-03:00,POINT (-58.37025808132072 -34.62256017722425),-58.37025808132072,-34.62256017722425,0.16788491867927746,0.0829968227757476,2021-02-13,5
-58.38160011917353,-34.60369007221486,2021-01-25 19:34:40.950000+00:00,2021-01-25 20:34:40.950000+00:00,searchInThisArea,2021-01-25T16:34:49.863-03:00,POINT (-58.38160011917353 -34.60369007221486),-58.38160011917353,-34.60369007221486,0.15654288082647128,0.10186692778513873,2021-01-25,0
-58.4334949,-34.5724491,2021-01-14 15:00:01.244000+00:00,2021-01-14 16:00:01.244000+00:00,google,2021-01-14T17:57:09.821GMT-03:00,POINT (-58.4334949 -34.5724491),-58.4334949,-34.5724491,0.10464809999999858,0.13310789999999884,2021-01-14,3
-58.425810000000006,-34.60607895,2021-02-08 10:30:00+00:00,2021-02-08 12:30:00+00:00,updateTimeHome,2021-02-07T21:16:58.954-03:00,POINT (-58.42581000000001 -34.60607895),-58.425810000000006,-34.60607895,0.11233299999999247,0.09947805000000187,2021-02-08,0
-58.38295765221119,-34.60499565573251,2021-02-03 16:36:45.147000+00:00,2021-02-03 17:36:45.147000+00:00,searchInThisArea,2021-02-03T13:36:59.028-03:00,POINT (-58.38295765221119 -34.60499565573251),-58.38295765221119,-34.60499565573251,0.15518534778880877,0.10056134426748997,2021-02-03,2
-58.476620055735104,-34.60835348582258,2021-02-24 20:02:54.011000+00:00,2021-02-24 21:02:54.011000+00:00,searchInThisArea,2021-02-24T17:05:08.048-03:00,POINT (-58.4766200557351 -34.60835348582258),-58.476620055735104,-34.60835348582258,0.06152294426489391,0.09720351417741568,2021-02-24,2
-58.72809257358312,-38.58119342474157,2021-02-07 20:15:20.101000+00:00,2021-02-07 21:15:20.101000+00:00,this_area,2021-02-07T23:04:58.504GMT-03:00,POINT (-58.72809257358312 -38.58119342474157),-58.72809257358312,-38.58119342474157,-0.18994957358312092,-3.8756364247415718,2021-02-07,6
-58.43150949999999,-34.5808844,2021-02-08 12:15:38.532000+00:00,2021-02-08 13:15:38.532000+00:00,google,2021-02-08T15:19:15.926GMT-03:00,POINT (-58.43150949999999 -34.5808844),-58.43150949999999,-34.5808844,0.10663350000000804,0.12467259999999669,2021-02-08,0
-58.57043635100126,-34.63967509886212,2020-12-18 13:30:21.046000+00:00,2020-12-18 14:30:15+00:00,this_area,2020-12-18T16:17:10.483GMT-03:00,POINT (-58.57043635100126 -34.63967509886212),-58.57043635100126,-34.63967509886212,-0.032293351001264625,0.06588190113787817,2020-12-18,4
-58.39734066277743,-34.59743065803585,2021-02-12 16:21:32.982000+00:00,2021-02-12 17:21:32.982000+00:00,searchInThisArea,2021-02-12T13:23:08.128-03:00,POINT (-58.39734066277743 -34.59743065803585),-58.39734066277743,-34.59743065803585,0.14080233722256708,0.1081263419641516,2021-02-12,4
-58.459363728761666,-34.564842129147735,2021-02-20 21:53:44.711000+00:00,2021-02-20 22:53:44.711000+00:00,searchInThisArea,2021-02-20T18:54:12.218-03:00,POINT (-58.45936372876167 -34.56484212914773),-58.459363728761666,-34.564842129147735,0.07877927123833217,0.14071487085226408,2021-02-20,5
-58.45897246152162,-34.61829565260808,2021-02-08 05:33:27.798000+00:00,2021-02-08 06:33:27.798000+00:00,searchInThisArea,2021-02-08T02:35:53.799-03:00,POINT (-58.45897246152162 -34.61829565260808),-58.45897246152162,-34.61829565260808,0.07917053847837963,0.08726134739191593,2021-02-08,0
-58.27453471720218,-34.781302354558306,2021-01-27 14:23:00+00:00,2021-01-28 15:23:00+00:00,searchInThisArea,2021-01-25T22:25:31.307-03:00,POINT (-58.27453471720218 -34.78130235455831),-58.27453471720218,-34.781302354558306,0.26360828279781856,-0.07574535455830755,2021-01-27,2
-58.991541424940294,-34.4183876276881,2020-09-22 11:30:00+00:00,2020-09-22 11:45:00+00:00,update_time_home,2020-09-22T13:08:28.801GMT-03:00,POINT (-58.99154142494029 -34.4183876276881),-58.991541424940294,-34.4183876276881,-0.45339842494029625,0.2871693723119009,2020-09-22,1
-58.36968038231134,-34.61421197809557,2021-02-22 10:15:00+00:00,2021-02-22 13:15:00+00:00,searchInThisArea,2021-02-22T06:11:15.824-03:00,POINT (-58.36968038231134 -34.61421197809557),-58.36968038231134,-34.61421197809557,0.168462617688661,0.09134502190443072,2021-02-22,0
-58.45164265483618,-34.57407808982229,2021-03-01 23:00:00+00:00,2021-03-06 12:00:00+00:00,searchInThisArea,2021-02-27T22:55:20.442-03:00,POINT (-58.45164265483618 -34.57407808982229),-58.45164265483618,-34.57407808982229,0.08650034516382021,0.1314789101777123,2021-03-01,0
-58.456035107374184,-34.57342795637297,2021-02-16 11:45:25.477000+00:00,2021-02-16 12:45:25.477000+00:00,this_area,2021-02-16T14:35:58.979GMT-03:00,POINT (-58.45603510737418 -34.57342795637297),-58.456035107374184,-34.57342795637297,0.08210789262581386,0.1321290436270317,2021-02-16,1
-58.579553700000005,-34.42166714999999,2021-01-27 17:36:34.098000+00:00,2021-01-27 18:36:34.098000+00:00,google,2021-01-27T14:40:10.302-03:00,POINT (-58.57955370000001 -34.42166714999999),-58.579553700000005,-34.42166714999999,-0.04141070000000724,0.28388985000000844,2021-01-27,2
-58.4638735,-34.6501458,2021-01-16 11:00:35.763000+00:00,2021-01-16 12:00:35.763000+00:00,google,2021-01-16T13:50:49.759GMT-03:00,POINT (-58.4638735 -34.6501458),-58.4638735,-34.6501458,0.07426949999999977,0.05541120000000177,2021-01-16,5
